stream_files�
"Munic�pio","ibge","latitude","longitude","/Com�rcio/Vend...lina Automotiva 2011 (litros)"
"Acegu�","4300034","-31.860759999990","-54.167059999990","775.000"
"�gua Santa","4300059","-28.167200000000","-52.030999999990","446.000"
"Agudo","4300109","-29.644700000000","-53.251500000000","3.010.500"
"Ajuricaba","4300208","-28.234200000000","-53.775700000000","1.231.000"
"Alecrim","4300307","-27.657900000000","-54.764899999990","905.000"
"Alegrete","4300406","-29.790199999990","-55.794899999990","14.378.010"
"Alegria","4300455","-27.834499999990","-54.055700000000","434.159"
"Almirante Tamandar� do Sul","4300471","-28.108599999990","-52.911900000000","415.000"
"Alpestre","4300505","-27.250200000000","-53.034100000000","749.500"
"Alto Alegre","4300554","-28.776900000000","-52.989199999990","235.000"
"Alto Feliz","4300570","-29.391900000000","-51.312300000000","238.000"
"Alvorada","4300604","-29.991399999990","-51.080900000000","29.667.827"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","606.000"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","1.123.718"
"Andr� da Rocha","4300661","-28.628299999990","-51.579700000000","216.000"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","1.155.000"
"Ant�nio Prado","4300802","-28.856500000000","-51.288300000000","3.698.500"
"Arambar�","4300851","-30.909300000000","-51.504600000000","554.500"
"Araric�","4300877","-29.616800000000","-50.929099999990","3.146.500"
"Aratiba","4300901","-27.397800000000","-52.297499999990","1.161.000"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","4.616.400"
"Arroio do Padre","4301073","-31.431600000000","-52.417099999990","590.500"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","4.304.000"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","1.943.500"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","2.601.000"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","3.053.000"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","2.301.685"
"Augusto Pestana","4301503","-28.517299999990","-53.988300000000","1.368.000"
"�urea","4301552","-27.693600000000","-52.050500000000","641.000"
"Bag�","4301602","-31.329699999990","-54.099899999990","24.659.300"
"Balne�rio Pinhal","4301636","-30.241900000000","-50.233600000000","1.298.000"
"Bar�o","4301651","-29.372500000000","-51.494900000000","1.303.000"
"Bar�o de Cotegipe","4301701","-27.620799999990","-52.379800000000","906.500"
"Bar�o do Triunfo","4301750","-30.389099999990","-51.738399999990","715.000"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","140.000"
"Barra do Quara�","4301875","-30.202900000000","-57.549700000000","210.000"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","4.605.500"
"Barra do Rio Azul","4301925","-27.406800000000","-52.408400000000","125.000"
